,meta-date,meta-href,meta-text,meta-author,meta-lang,meta-sentiment
0,1866-05-31,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000118&view=l,"

                |  47, Princess Street,Manchester,May
            31/66.
Dear Marx,
Some time ago, I received a letter from Mr
Beales, in the name of the Reform
              League, asking me still to remain a member.
I answered that letter.
Has that answer been read to the
                Council?
If not, will you kindly take steps that it be read.
Next: I received a long letter from Mr Beales, of a rather
          extraordinary kind, and attacking me rather severely. To that I
          have replied, enclosing the reply under cover to Mr
Howell, requesting
            that letter to be read to the council.
I enclose you a copy of this 
                | 
              second letter.
May I ask you to let me know if the second letter is read to
              the Council, in its entirety,—and if not, may I ask you to secure
                its being read.
I hold this to be rather important for the sake of the movement, or else I would not
          trouble you.
Pray write.
Kindest regards.Ever your'sErnest Jones. 
        
          
                |  What is your view of things in Germany?. 
",Ernest (Ernst) Charles Jones,en,"('pos', 0.076)"
1,1866-05-16,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000112&view=l,"

                |  Mchr 16 Mai 1866.
Lieber Mohr
Die Geschichte mit Freiligrath ist sehr
              amüsant & sehr erfreulich.
          Das hat er davon daß er sich an die respectabeln Leute der Emigration hängt & sich von
          der „Partei“ lossagt. ​Was den
            Blind angeht, so wird ihm mit Bezug auf sein: manus haec inimica tyrannis
          zuzurufen sein daß Kinder nicht mit Schießgewehr spielen sollen. Übrigens ist aus der Geschichte ganz klar daß Bismark ein Panzerhemd trägt. Die Schüsse
              müssen ihn alle getroffen haben, die 3 letzten werden als volle Treffer zugegeben,
              & da der Revolver so construirt war daß er nicht ganz dicht schließend aufgesetzt
              werden konnte, so ist keine andre Möglichkeit da. Man macht
          diese Dinger jetzt sehr fein & doch stark. Sein Freund Bonaparte wird ihm schon eins verschafft &
          empfohlen haben.​
Monsieur Bismark hat sich offenbar in
          den Kleinstaaten arg getäuscht, hinc
          die Drohung mit der Reichsverfassung
          & mit Bennigsen. Auch finanz.
          Mißerfolge müssen vorgefallen sein. Kann man sich aber etwas Possirlicheres denken, als
            daß derselbe Wilhelm, der Anno 49 als Obergeneral die
            Reichsverfassung zu Grabe trug, sie jetzt wieder
          erwecken will, oder vielmehr muß. Bismark als Restaurator der
              „deutschen Grundrechte“, das ist zu komisch. In der Landwehr & den eingezognen Reserven siehts
          auch nicht zum Besten aus, in Görlitz war bedeutender Krawall unter ihnen, die Linie mußte
          ausrücken & sich zurückziehn weil die Kerle sich derartiges Einschreiten nicht wollten
          gefallen lassen. Wenn diese Leute noch 3–4 Wochen unthätig unterm Gewehr stehn, sind sie
          zu Allem kapabel. Und da weder Preußen noch Italien fertig ist zum Angriff, müssen sie
          wohl noch bis Ende Mai wenigstens dastehn.
Soviel ist sicher, Mons. Bismarck hat
          sich in eine Sauce hineingeritten mit der weder er noch das ganze bisherige 
                |  Regime
          fertig wird. Wenn es friedlich abgemacht wird, so hat er die disponiblen fonds vermöbelt
          & wird sich schon deßhalb nicht mehr helfen können, & wenn es Krieg gibt so muß er
            Acheronta movere, die ihn sicher verschlingen. Selbst ein directer Sieg der Kammerbürger hat
          unter diesen Umständen einen revolutionären Charakter & muß weiter führen.
Trotz alledem kann ich mir noch immer nicht denken daß in der Mitte des 19 Jahrhdrts Nord
          & Süddeutschland auf einander losschlagen werden bloß weil Bismark es im Interesse der Russen & des
            Bonaparte so haben will. Wenn es aber
          zum Klappen kommt, so kann es den Preußen schlecht gehn. Die Oestreicher scheinen diesmal
          alle Kräfte bis aufs Äußerste anstrengen zu wollen, & wenn auch die Renommagen von
          900,000 Mann Unsinn sind so wäre es immer möglich daß sie in Sachsen mit bedeutender
          Überzahl aufträten. Preußen kann über das rheinische &
            westfälische Corps gar nicht, über das sächsische nur theilweise
             gegen Östreich verfügen. Bleiben
          die übrigen sechs Armeecorps, die schwerlich 240,000 Mann stark vor den Feind rücken
          werden. Wenn die Oestr. wie es heißt, in Italien sich zunächst defensiv halten, so
          brauchen sie dort nur 150,000 Mann, & können ganz gut 300–350,000 M. gegen Preußen
          schicken – es sei denn daß die Russen sie nöthigen Galizien stark zu besetzen. Die
          entscheidende Schlacht könnte dann von 180,000 Pr. gegen 240–280,000 Oestr. geschlagen
          werden, & würde fast unfehlbar Jena sein
          & direct nach Berlin führen. Es ist aber schwer hierüber Hypothesen zu machen, da bei
          den Oestr. die Truppen immer viel stärker auf dem Papier sind & auch stark gelogen
          wird grade jetzt.
Leider ist Monsieur Charles mit dem Hauptbuch zurück worin meine Rechnung ist, so daß ich
          augenblicklich gar nicht einmal ordentlich nachsehen kann wie ich stehe, & da in
          6 Wochen das Bilanzjahr um ist, & ich dann ein bestimmtes Capital im Geschäft haben
          muß, so muß ich mich  danach richten. Sobald
          ich kann werde ich mein Soll & Haben aufaddiren & wenn
              irgend möglich Dir einiges Geld schicken.
          Jeden
                | falls aber kannst Du darauf rechnen daß ich Dir in den
              ersten Tagen des Juli, nach dem Bilanzjahresschluß, sofort eine £ 50.–
              besorge.
Schön ist die Kreuzzeitung zu lesen wie sie für allgemeines Stimmrecht, Bonapartismus, Victor Emanuel etc auftritt. Der Schmutz den
            die Kerls jetzt fressen müssen, ist massenhaft.
Beste Grüße an Deine Frau & die Mädchen.DeinF. E. 
      
    ",Friedrich Engels,de,"('neg', 0.8568170070648193)"
2,1866-09-05,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000169&view=l,"

                |  5 Sept. 1866.
My beloved master ± ∞ ∓,
I bow to the earth before your immensity, whatever part you may condescend to
                    act, that of the infinitely small or the infinitely grand.
Your letters have enchanted us, and we were really
                            bursting out with laughter on reading that fine passage in which you
                            describe the spontaneous explosion produced by the exhibition
                            spinster.
I am much belaboured by a Gorilla offspring who can hardly stand the separation 
                        
                        from
                    
                    a velvet mouse
                    he has put his mind upon. If he knew her as well as I do—he would of course be
                    still more Calypso, qui ne pouvait se
                    consoler du départ d'Ulysse.
                    She may be a Calypso, but he is not an
                        Ulysses, with all that. A
                    spoony fellah rather. However, he deserves some praise at my hands. He has worked hard  (from 1 o'clock p.m. to 9) in translating the instructions
                            I  had to draw up for the Geneva
                            Congress Delegates.
                    He has worked not less hard as a tailor at certain 
                |  gymnastic apparatus you
                    are to  use. Last, not least, he affects
                    great attention to the scientifick gabble I affect to treat him with, although
                    he and myself are far away from the scene of that
                    mental entertainment.
The day before yesterday the Lormiers were here, and the negrillo too. Old Lormier, on the
                    pretext of having to communicate him some gymnastic trick, told him “secretly”, and discreetly, of course, he must stop that
                    fountain of saliva which, while smoking, he is in the habit of inundating the
                    chimney with. When both returned from the kitchen, where the secret
                    communication was taking place, our poor Negrillo looked rather downcast, and
                    behaved like a “good 
                        
                        boy
                    ”.
In fact, I like the boy. At the same time, I feel rather jealous of his
                    encroachments upon my old
                            “Geheimsecretair”.
Don't forget to write me immediately what you have to pay
                        per week.
The damned weather. I hope it will still mend.
Address of Mimmelchen: “Mrs. Goodbun. Rose
                    and Crown. Dover”.
Adio, my dear child. Many kisses to you and to the immortal Cacadou.
                
                    Yours 
                            



0


∞




/ You don't want to write to Mamma, as she probably leaves Dover on Friday morning for
                        another place. /
",Karl Marx,en,"('pos', 0.134)"
3,1866-08-31,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000166&view=l,"

                |  18 Bouverie StFriday AfternoonAug
                        31/66
Dear Citizen
I have just received the enclosed telegram from
                            Manchester, do the best you can. Our prestige is at stake
                    If we can keep away Men the fortune of our Association is made—Dont mind the
                    expense the Tailors will pay any amount of money if we can only keep Men away
                    
                |  so do act promply.
The London Secretary of the Tailors is
                    here and hopes we shall act with vigour.
                Fraternally YoursWRCremer 
            
        ",William Randall Cremer,en,"('pos', 0.135)"
4,1866-11-12,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000193&view=l,"

                |  Londres. 12 Nov.
                        1866.
Mon cher Monsieur
                        Lafargue,
J’espère bien que Monsieur il
                            amoroso
                    aura excusé auprès de vous mon silence impardonnable. J'ai été d'un côté
                    persécuté par des récidives continuelles de maladie, de l'autre si absorbé par
                        un travail de
                    longue haleine que j'ai négligé la correspondance avec mes amis les plus
                    intimes. Si je ne vous rangeais pas dans cette catégorie, je n'aurais jamais osé
                    de 
                        
                        choquer
                     la bienséance d'une telle manière.
Je vous remercie cordialement pour le vin. Etant moi-même d'un pays vinicole, et ex-possesseur de
                            vignes, je sais apprécier 
                        
                        le
                     vin à sa juste valeur. Je pense même un peu avec le vieux Luther qu'un homme, qui n'aime pas le vin, ne sera
                            jamais bon pour grand chose. (
                        
                        Nulle
                     règle générale sans exceptions). Mais on ne peut pas nier, par exemple,
                    que le mouvement politique en Angliterre a été
                            accéléré par le traité de commerce avec la France et l'importation des vins français. C'est une des bonnes
                    choses, que L. Bonaparte
                    était à même de faire, tandis que le pauvre Louis Philippe
                    
                |  était si intimidé par les fabricants du Nord qu'il n'osait pas faire des
                    traités de commerce avec L'Angliterre. Il est seulement à regretter, que de tels
                    régimes, comme le napoléonien, qui restent sur la fatigue et l'impuissance des
                    deux classes antagonistes de la société, achètent quelques progrès matériels par
                    la démoralisation générale. Heureusement la masse des ouvriers ne peut pas être
                    démoralisée. Le travail manuel est le grand antidote contre toute infection
                    sociale.
Vous  aurez
                    réjoui comme moi de
                            la défaite du président Johnson dans les dernières élections. Les ouvriers du Nord ont enfin parfaitement
                    compris, que le travail, tant qu'il est flétri dans la peau noire, ne sera
                    jamais émancipé dans la peau blanche.
J'ai reçu samedi soir par le citoyen Dupont une lettre adressée à Paul
                    par le secrétaire du Collège des surgeons. Il demandait des papiers que ne se
                    trouvaient ni chez ma fille
                    (excepté le brevet de baccalauréat) ni chez le 
                        
                        gardien
                     des effets 
                        
                        de
                     votre fils. Ainsi, il faut nous envoyer
                    ces documents immédiatement.
Veuillez bien dire à votre fils qu'il m'obligera beaucoup en
                    ne pas faisant de la propagande à Paris. Le temps est dangèreux. La meilleure 
                |  chose qu'il pourra faire à Paris sera
                    d'utiliser son temps et de profiter de son commerce
                            avec le Dr Moilin.
                    Il ne perdra rien en économisant sa force polémique. Plus il se contiendra, plus
                    il sera bon lutteur au moment opportun.
Ma fille vous laisse prier par moi de  vouloir bien envoyer
                    par Paul des photogrammes de Madame Lafargue et de vous-même.
Toute ma famille joint ses amitiés pour toute la famille
                    Lafargue avec les miennes.Tout à vousKarl Marx 
            
        ",François Lafargue,fr,"('pos', 0.6401874423027039)"
5,1866-08-07,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000149&view=l,"

                |  7 August. 1866.
Lieber Fred,
Du hast aus meinem letzten
                            Brief
                    richtig erkannt, daß mein Gesundheitszustand verbessert, obgleich er täglich
                    auf- u. abschwankt. Indeß das Gefühl wieder arbeitsfähig zu sein does much for a
                    man. 
                    ​Leider bin ich beständig
                    durch social troubles unterbrochen u. verliere viele Zeit. So z. B. heute
                    hat der Metzger die Fleischzufuhr suspendirt u. wird selbst mein Vorrath von
                    Papier bis Sonnabend zu End sein.​
​​Laura ist seit gestern halb
                    versagt an Mons. Lafargue, meinen medizinischen
                        Creolen.​ Sie behandelte
                    ihn wie die andern, aber die 
                        
                        Gemüthsexcesse
                     solcher Creolen, etwas Furcht, daß der jeune homme (er ist 25 J.)
                    sich umbringen würde u.s.w., etwas Zuneigung für ihn, kalt wie immer bei Laure
                    (er ist ein hübscher, intelligenter, energischer u. gymnastisch entwickelter
                    Bursche) haben mehr oder minder zu einem halben Compromiß geführt. Der Junge
                    attachirte sich erst an mich, übertrug aber bald die attraction vom Alten auf
                    die Tochter. Seine ökonomischen Verhältnisse sind mittlerer Natur, da er das
                    einzige Kind einer früheren Pflanzerfamilie. Er ist rayé de l'université de
                    Paris pour deux ans, wegen des Congrès à
                            Liège,
                    will aber sein Examen zu Straßburg machen. Nach meinem Urtheil hat er
                    ausserordentliches Talent für die Medizin, worin er jedoch unendlich skeptischer
                    als unser Freund Gumpert. Der
                    medizinische Skepticismus scheint in Paris bei Professoren u. 
                |  Studenten an
                    der Tagesordnung. Z. B. Magendie, der alle Therapeutik, im jetzigen state, für
                    Scharlatenerie erklärt. Dieser Skepticismus schließt, wie immer, crotchets nicht
                    nur nicht aus, sondern ein. Lafargue z. B. glaubt an den Alkohol u. die Electrizität
                    als Hauptheilmittel. Er hat glücklicher Weise an Prof. Carrère, 
                    Flüchtling (hautes mathématiques, Physik u. Chemie) einen guten Rathgeber, u.
                    wird praktisch in den Londoner Hospitälern viel lernen können. Ich habe ihm dazu
                    durch eine dritte Person den Zugang verschafft.​
Ein sehr bedeutendes Werk, das ich Dir
                            (aber unter Bedingung des Zurückschickens, da es nicht mein Eigenthum)
                            schicken werde, sobald ich die nöthigen Noten gemacht, ist: „P. Trémaux: Origine et
                                Transformations de l'homme et des autres êtres. Paris.
                            1865.“
                    Es ist, trotz aller Mängel, die mir auffallen, ein sehr
                        bedeutender Fortschritt über Darwin.
                    
                    Die zwei Hauptsätze sind: Die croisements produciren nicht, wie man meint, die
                    Differenz, sondern umgekehrt die typische Einheit der espèces. Die Erdformation
                        differenzirt dagegen. (nicht allein, aber als
                    Hauptbasis.) Der Fortschritt, der bei Darwin rein zufällig, hier nothwendig, auf der Basis der
                    Entwicklungsperioden des Erdkörpers. Die dégénerescence, die Darwin nicht
                    erklären kann, hier einfach; ditto das so rasche Erlöschen blosser
                    Uebergangsformen, verglichen mit der Langsamkeit der Entwicklung des Typus der
                    espèce, so daß die Lücken der Paläontologie, die
                    den Darwin stören, hier nothwendig. Ditto als nothwendiges Gesetz entwickelt
                    
                |  die Fixität (von individuellen
                    u.s.w. Variations abgesehn) der einmal
                        constituirten espèce. Die Schwierigkeiten der Hybridation bei
                        Darwin hier umgekehrt
                    Stützen des Systems, da nachgewiesen wird, daß 
                        
                        eine
                     espèce in der That erst constituirt ist, sobald das croisement mit
                    andern aufhört fruchtbar oder möglich zu sein u.s.w.
In der geschichtlichen u. politischen Anwendung viel
                    bedeutender u. reichhaltiger als Darwin. Für gewisse Fragen, wie Nationalität etc hier allein
                    Naturbasis gefunden. Z. B. corrigirt er den Polen
                                Duchinski, dessen
                            Sachen über die geologischen 
                            Differenzen zwischen Rußland u. den Westslaven er übrigens bestätigt,
                            dahin, daß nicht, wie dieser glaubt, die Russen keine Slaven, 
                                
                                vielmehr
                             Tartaren u.s.w.,
                    sondern daß auf der in Rußland vorherrschenden Bodenformation sich der Slav
                    tartarisirt u. mongolisirt, wie  er (er
                    war lang in Afrika) nachweist,  daß der
                    gemeine Negertyp nur Degenereszens eines viel höhern ist. „hors des grandes lois de la nature, les projets des hommes ne
                            sont que calamités, témoins les efforts des czars pour faire du
                            peuple polonais des Moscovites. Même nature, mêmes facultés, renaîtront
                            sur un même sol. L'œuvre de destruction ne saurait toujours durer,
                            l'œuvre de reconstitution est éternelle. … Les races slaves et
                            lithuaniennes ont avec les Moscovites, leur véritable limite dans la
                            grande ligne géologique qui existe au nord des bassins du Niémen et du
                            Dnièper … Au sud de cette grande ligne géologique: les aptitudes et les types propres à cette
                            région sont et demeureront toujours différents de ceux de la
                            Russie.“
SalutD KM 
            
        ",Friedrich Engels,de,"('neu', 0.9823201298713684)"
6,1866-07-21,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000143&view=l,"

                |  21 Juli 1866.
Dear Fred,
Der Karbunkel hat sich glücklich wieder von selbst verzogen.
          Schwer aber hatte u. habe ich in der jetzigen Hitze von der liver zu büssen. Mit alledem
          geht die Arbeit gut voran u. wird sie
          so vorangehn, wenn der jetzige Zustand fortdauert. Es ist mir natürlich peinlich schon
          wieder auf Dir pressen zu müssen, aber, wie aus dem einliegenden
              Zettel ersiehst (den Du mir zurückschicken mußt) ist periculum in mora.
          Ich habe mit Mühe Ausstand bis nächsten Dienstag erhalten. Aus
              Deiner letzten Zusendung
          ist mir zweifelhaft, ob Du in Manchester bist.​ Ich habe auch keinen Manchester Guardian mehr erhalten. Oder
              ist nichts weiter von Dir darin erschienen?​
Alles Urtheil über die jetzigen Verhältnisse muß man sich
          untersagen, bis Nachricht sei es v. Waffenstillstand, sei es einer entscheidenden Schlacht
          vor Wien. Jedenfalls hat der Gang der Ereignisse ausserordentliche Verfaulung 
            
            des
           östreich. Systems bewiesen.
Unsre Engländer huldigen einstweilen, wie immer, dem Erfolg.
          Auch der grosse Arnold Ruge hat schon
          seit 14 Tagen sein Pronunciamento für Preussen gemacht, wie der grosse Kinkel noch früher gethan. Sind die Preussen
          siegreich bis zum Ende, welch ein Zudrang von Stellenjägern u. Vaterlandsrettern wird nach
          Frankfurt wogen!
Der „homme prestige“, „Jupiter Scapin“, grotesque providence of Europe ist  jedenfalls erschüttert u. sogar  von Bismarck überflügelt.
          Das ist ein Trost.
Hier ist seit einigen Tagen der Vth Report der
              Children’s
              Employment
              Commission erschienen. Er schließt die Enquête über die Manufacturen ab u. es wird nur noch ein 
                
                Nachtrag
               über die sporadisch in der Agrikultur angewandten „organised gangs“
              v. Weibern u. Kindern erscheinen. Der bürgerliche Optimismus seit 1850 konnte keinen furchtbarern Schlag
          erhalten als durch diese 5 Bluebooks. Ausserdem ist vor einigen Tagen der VIII Report 
                |  des Board of Health ausgegeben worden,
              der namentlich 
                
                eine
               sehr ausführliche Enquête über die Wohnungsverhältnisse des Proletariats
              enthält.
SalutDKM 
      
    ",Friedrich Engels,de,"('neu', 0.9755113124847412)"
7,1866-12-06,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000203&view=l,"

                |  125 Duke St.Liverpool, d.
                        6. Decbr. 1866.
Herrn
                            EngelsManchester
Als ich mir vor 8 Tagen
                            erlaubte an Sie zu schreiben und Sie um eine Gefälligkeit zu
                    bitten, glaubte ich daß mein Gesuch bei Ihnen Gehör finden würde; dieses scheint
                    aber nicht der Fall gewesen zu sein, da Sie mich weder einer Antwort würdigten,
                    noch mir den beigefügten Steckbrief zurücksandten. Wenn ich nun um Letzteren
                    noch einmal bitte, kann ich nicht umhin, mein Bedauern hinzuzufügen, daß ich in
                    meiner gegenwärtig 
                |  sehr bedrängten Lage durchaus keine hülfreiche Hand
                    finde, während ich doch 17 Jahre hindurch meinen
                            Schicksalsgenossen stets und gerne mit Rath und That zur Seite
                            stand.
Sollten Sie vielleicht meinen Worten keinen Glauben
                    geschenkt haben, so hätte vielleicht einer Ihrer hiesigen Bekannten sich auf Ihr
                    Gesuch zu mir bemüht und eingesehen, daß ich, wie ich Ihnen geschrieben, fast
                    vollständig etablirt bin und es nur noch einer kleinen Summe bedarf um noch in
                    diesem Monat – dem besten des ganzen Jahres – einen recht hübschen
                    Gewinn erzielen zu können.
Ihrer gef. Antwort und der Rücksendung des erbetenen Papieres entgegen sehend
                    zeichne
                achtungsvoll CHoßfeld 
               
            
        ",Friedrich Engels,de,"('neu', 0.9844850301742554)"
8,1866-10-11,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000184&view=l,"

                |  Hannover, 11. Octob. 1866
Hochverehrter Freund!
​Abgesehen von dem heute empfangenen,
                    war der letzte Brief, welcher von Ihnen in meine Hände gelangte, der ab Margate v. 6. April ct.
                    Einige Tage zuvor hatte Ihre werthe Frau Gemahlin die
                            Freundlichkeit, mich über Ihr Befinden zu beruhigen und Ihre
                            Photographie, die Sie von Margate gesandt hatten,
                            beizufügen.
                    – Am 15/25 April antwortete
                            ich Ihnen und dankte Ihrer lieben Frau für ihre Güte.
                    – Ihrem Wunsche gemäß, Ihnen von Zeit zu Zeit Einiges über hiesige Verhältnisse
                    zu berichten, schrieb ich Ihnen wieder am
                            6 Juli.
                    Der Brief enthielt nichts von Bedeutung. – Am Schluß
                            bat ich, mir zu sagen, ob Sie meinen Brief von April erhalten u. ob Sie
                            Ihrem Plane gemäß diesen Sommer hierherkämen, weil ich meine
                            Erholungsreise danach einrichten wollte. –
                        Außer Ihrem heute erhaltenen Schreiben, habe ich
                            kein Lebenszeichen von Ihnen erblickt. –
                    Aus Ihrem Schweigen schloß ich, daß Sie keine Lust zum Schreiben hätten, oder
                    daß die Briefe verloren gegangen wären, oder daß diese oder Ihre Antwort
                    unterschlagen worden sei. – Vom 19. Aug. bis 
                |  20. Septbr. war ich verreist.
                    – Ich hatte die Absicht mich, durch eine mir befreundete Familie in London, nach
                    Ihnen erkundigen zu lassen, was aber bis heute unterblieb. –
Der von Ihnen erwähnte Brief ist also nicht in meinen Besitz
                    gelangt, ist nach genauer Erkundigung bei meinen zuverlässigen Dienstmädchen,
                    auch nicht während meiner Abwesenheit hier angekommen.​
Sein Sie überzeugt, daß ich vollkommen die Ehre zu würdigen weiß, welche Sie
                    dadurch mir erzeigen, daß Sie mich zum Vertrauten Ihrer Sorgen machen u. wie
                    könnte ich von Ihnen voraussetzen, daß (eventuell) Sie
                    mich für Verhältnisse verantwortlich machen würden, die als in unseren
                    gesellschaftlichen Mißständen basirend, Niemand besser kennt, als Sie? An meinem
                    guten Willen dürfen Sie nie zweifeln. –
Haben Sie nun die Güte, lieber Freund, mir den Inhalt
                            jenes verlorenen Briefes,
                    nochmals mitzutheilen, wenn es noch an der Zeit ist. Kann ich Ihnen nützen so
                    geschieht es, wo nicht, so sage ich's Ihnen offen. –
Niemand kann mehr wie ich von der Nothwendigkeit der Vollendung Ihres Werkes
                    überzeugt sein. –
​Um diesen Brief nicht
                    aufzuhalten theile ich Ihnen nur noch mit, daß der
                                Pr. Staatsanz. vor etwa 8 Tagen
                            die Nachricht brachte, Liebknecht, 
                |  wahrscheinlich irriger Weise
                            voraussetzend, daß die Amnestie auch seine Ausweisung aus Preußen
                            aufgehoben habe, sei nach Berlin gekommen, wo er eine Rede im
                            Buchdruckergehülfenverein gehalten habe. Als er letzteres Local verließ
                            wurde er verhaftet.
                    – Das ist Alles, was ich bis jetzt darüber weiß.​ –
Jedenfalls darf ich wohl umgehend Antwort von Ihnen erwarten.
                Der IhrigeLKugelmannDr 
            
        ",Louis Kugelmann,de,"('neu', 0.9885977506637573)"
9,1866-01-26,https://megadigital.bbaw.de/briefe/detail.xql?id=M0000021&view=l,"

                |  Mchr 26. Jan 66.
Lieber
                    Mohr
Was mich festsetzt: ich habe kein Material & auch fast gar keine
                    Gedächtnißkenntniß über die Art wie die
                            Leibeignenbefreiung schließlich in Rußld durchgeführt wurde, welches
                            Land der Bauer erhielt, wer dafür zahlte, was de facto jetzt seine
                            Stellung zum Gutsherrn ist &c &c.
                    Die früheren Pläne des Adels & Kaisers hab’ ich wohl
                    gesehn, aber die definitive Durchführung nicht. Hast
                            Du Material darüber?
                
                    DeinF. E.
                
                
                    
NB. ich werde auf den Art. 
                                    
                                    der
                                
                                Tribune von 1864 nicht direct
                        Bezug nehmen, cela serait lui faire trop d’honneur.
",Friedrich Engels,de,"('neu', 0.9940846562385559)"
